,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
R_2_1_Wally_18_T1,Let’s do this!,50,Darwin,Wally,4_MC_EC,5_MO_EP,,,,,
,,,,,,,,,,,
$Title,DarwinQuips_1_p3,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
R_2_2_Darwin_1_T1,Ah!,0,Darwin,,4_MO_EI,,,,,,
R_2_2_Darwin_1_T2,Look at this one!,1,Darwin,,4_MO_EP,,,,,,
R_2_2_Darwin_1_T3,He loved drawing stripes on everything... ,2,Darwin,,15_MO_EI,,,,,,
R_2_2_Darwin_1_T4,Such a funny cub.,3,Darwin,,2_MO_EC,,,,,yes,
R_2_2_Darwin_2_T1,I know we can do it! ,4,Darwin,,4_MO_EP,,,,,,
R_2_2_Darwin_2_T2,I know we can help him!,5,Darwin,,4_MO_EC,,,,,yes,
R_2_2_Darwin_3_T1,This drawing’s my uh... ,6,Darwin,,2_MO_EI,,,,,,
R_2_2_Darwin_3_T2,favorite...,7,Darwin,,15_MO_EI,,,,,yes,
R_2_2_Darwin_4_T1,He has to know how much he matters… ,8,Darwin,,12_MO_EP,,,,,,
R_2_2_Darwin_4_T2,He doesn’t have to do things he doesn’t want to do to have friends...,9,Darwin,,12_MO_EO,,,,,yes,
R_2_2_Darwin_5_T1,Julius needs us! I just know it!,10,Darwin,,12_MO_EP,,,,,yes,
,,,,,,,,,,,
$Title,GCampRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_2_3_Red_1_T1,Great job~ Explorer!,0,Red,,3_MO_EP,,,,,,
R_2_3_Red_1_T2,The camp looks better than ever!,1,Red,,4_MO_EC,,,,,,
R_2_3_Darwin_2_T1,Amazing ,2,Red,Darwin,2_MC_EI,2_MO_EP,,,,,
R_2_3_Darwin_2_T2,uhh.. ,3,Red,Darwin,2_MC_EI,9_MO_EO,,,,,
R_2_3_Darwin_2_T3,Job Explorer! ,4,Red,Darwin,2_MC_EC,4_MO_EP,,,,,
R_2_3_Darwin_2_T4,I was able to find a bunch of my old notes!,5,Red,Darwin,2_MC_EC,4_MO_EC,,,,,
R_2_3_Darwin_2_T5,I uh…,6,Red,Darwin,2_MC_EI,12_MO_EO,,,,,
R_2_3_Darwin_2_T6,...,7,Red,Darwin,1_MC_EI,12_MC_EI,,,,,
R_2_3_RedWally_3_T1,...,8,Red,Wally,1_MC_EI,1_MC_EI,,,,,
R_2_3_RedWally_3_T2,...,9,Red,Wally,2_MC_EI,4_MC_EI,,,,,
R_2_3_RedWally_4_T1,Go ahead Darwin~ we won’t stop you.,10,Red,Wally,17_MO_EC,4_MC_EI,,,,,
R_2_3_Wally_5_T1,We understand how much he means to you. ,11,Red,Wally,2_MC_EI,4_MO_EI,,,,,
R_2_3_Wally_5_T2,I remember when a patient friend helped me in my time of need~,12,Red,Wally,2_MC_EC,11_MO_EI,,,,,
R_2_3_Wally_5_T3,and that’s what Julius needs now. ,13,Red,Wally,2_MC_EC,5_MO_EI,,,,,
R_2_3_Wally_5_T4,Go to him.,14,Red,Wally,2_MC_EI,4_MO_EI,,,,,
R_2_3_Darwin_6_T1,T-Thank you guys!,15,Darwin,,11_MO_EC,,,,,,
R_2_3_Darwin_6_T2,I’m going to go find him!,16,Darwin,,3_MO_EO,,,,,,
,,,,,,,,,,,
$Title,GCampRebuilt_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_2_3_Red_7_T1,Alright Explorer!,0,Red,Wally,2_MO_EP,4_MC_EP,,,,,
R_2_3_Red_7_T2,Let’s move forward!,1,Red,Wally,14_MO_EP,5_MC_EP,,,,,
RedWally_Oh,Oh!,2,Red,Wally,5_MO_EI,6_MO_EO,,,,,
,,,,,,,,,,,
$Title,GCampRebuilt_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,1,Marcus,Brutus,6_MC,8_MO,,,,,
R_2_3_Julius_8_T1,Let’s just…,2,,Julius,,21_MO_EI,,,,,
R_2_3_Julius_8_T2,Hurry up and get this over with…,3,,Julius,,21_MO_EO,,,,,
R_2_3_Red_9_T1,But!,4,Red,Wally,5_MO_EI,6_MO_EI,,,,,
R_2_3_Red_9_T2,Your highness!,5,Red,Wally,8_MO_EI,7_MC_EI,,,,,
R_2_3_Wally_10_T1,You don't have to do this.,6,Red,Wally,8_MC_EI,7_MO_EI,,,,,
R_2_3_Julius_11_T1,Please…Just…,7,Red,Julius,7_MC_EI,21_MO_EO,,,,,
R_2_3_Julius_11_T2,Play my challenge…,8,Red,Julius,7_MC_EI,21_MO_EI,,,,,
R_2_3_Julius_11_T3,You know the rules… ,9,Red,Julius,7_MC_EI,21_MO_EP,,,,,
R_2_3_Julius_11_T4,If you win you can keep moving forward.,10,Red,Julius,7_MC_EI,3_MO_EI,,,,,
R_2_3_Julius_11_T5,But if I win…,11,Red,Julius,7_MC_EI,3_MO_EO,,,,,
R_2_3_Julius_11_T6,Please just leave me alone...,12,Red,Julius,7_MC_EI,21_MO_EO,,,,,
R_2_3_Marcus_12_T1,Just do as you're told~ commoners!,13,Marcus,Brutus,4_MO,5_MC,,,,,
R_2_3_Brutus_13_T1,Yawn…,14,Marcus,Brutus,5_MC,6_MO,,,,,
R_2_3_Brutus_13_T2,If they haven't listened to you by now....,15,Marcus,Brutus,5_MC,7_MO,,,,,
R_2_3_Brutus_13_T3,They aren't going to…,16,Marcus,Brutus,5_MC,2_MO,,,,,
R_2_3_Marcus_14_T1,ENOUGH YOU BABOON!!,17,Marcus,Brutus,4_MO,2_MC,,,,,
R_2_3_Red_15_T1,Sigh.,18,Red,Wally,8_MO_EI,7_MC_EI,,,,,
R_2_3_Red_15_T2,Alright your highness. ,19,Red,Wally,1_MO_EI,7_MC_EI,,,,,
R_2_3_Red_15_T3,But we’re here if you need us.,20,Red,Wally,2_MO_EC,4_MC_EI,,,,,
R_2_3_Red_15_T4,I know you can do it~ Explorer!,21,Red,Wally,14_MO_EP,4_MC_EP,,,,,
R_2_3_Wally_16_T1,Good luck.,22,Red,Wally,14_MC_EP,11_MO_EP,,,,,
,,,,,,,,,,,
$Title,GCampDefeated_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_2_4_Julius_1_T1,...,0,,Julius,,21_MC_EO,,,,,
R_2_4_Red_2_T1,Amazing job~ Explorer!,1,Red,Wally,3_MO_EP,15_MC_EI,,,,,
R_2_4_Wally_3_T1,Good job.,2,Red,Wally,2_MC_EC,4_MO_EP,,,,,
R_2_4_Marcus_4_T1,UNBELIEVABLE!,3,Marcus,Brutus,4_MO,5_MC,,,,,
R_2_4_Brutus_5_T1,Yawn…,4,Marcus,Brutus,5_MC,6_MO,,,,,
R_2_4_Julius_6_T1,Let’s just go…,5,Marcus,Julius,5_MC,21_MO_EO,,,,,
R_2_4_Marcus_7_T1,BUT!,6,Marcus,Julius,9_MO,21_MC_EI,,,,,
R_2_4_Marcus_7_T2,Your highness!,7,Marcus,Julius,9_MO,21_MC_EO,,,,,
R_2_4_Julius_8_T1,I’m leaving…,8,Marcus,Julius,4_MC,21_MO_EO,,,,,
,,,,,,,,,,,
$Title,GCampDefeated_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_2_4_Marcus_9_T1,Ugh. I’m getting tired of him.,0,Marcus,Brutus,5_MO,5_MC,,,,,
R_2_4_Brutus_10_T1,Yawn… I’m just tired.,1,Marcus,Brutus,5_MC,6_MO,,,,,
R_2_4_Brutus_10_T2,Let’s just go…,2,Marcus,Brutus,5_MC,7_MO,,,,,
,,,,, ,,,,,,
$Title,GCampDefeated_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
R_2_4_Red_11_T1,That was…,0,Red,Wally,8_MO_EI,1_MC_EI,,,,,
R_2_4_Red_11_T2,Strange?,1,Red,Wally,9_MO_EI,1_MC_EI,,,,,
R_2_4_Wally_12_T1,Yeah that was.,2,Red,Wally,9_MC_EI,2_MO_EO,,,,,
R_2_4_Red_13_T1,It appears the monkey guards are a bit off as well.,3,Red,Wally,1_MO_EI,1_MC_EI,,,,,
R_2_4_Wally_14_T1,I thought so too.,4,Red,Wally,1_MC_EI,1_MO_EI,,,,,
R_2_4_Red_15_T1,At any rate~ we should move forward.,5,Red,Wally,2_MO_EI,4_MC_EI,,,,,
R_2_4_Red_15_T2,Alright Explorer!,6,Red,Wally,3_MO_EP,4_MC_EP,,,,,
R_2_4_Red_15_T3,Let’s go!,7,Red,Wally,14_MO_EP,4_MC_EP,,,,,
R_2_4_Wally_16_T1,Right behind you.,8,Red,Wally,14_MC_EI,5_MO_EP,,,,,
,,,,,,,,,,,
$Title,MonkeyIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_3_1_Red_1_T1,I’m not surprised at how messy this place is.,0,Red,Wally,12_MO_EI,1_MC_EI,,,,,
R_3_1_Wally_2_T1,Uhgh~ Yeah.,1,Red,Wally,1_MC_EI,1_MO_EI,,,,,
R_3_1_Wally_2_T2,It’s expected at this point.,2,Red,Wally,2_MC_EI,15_MO_EO,,,,,
Marcus_Laugh,HA HA HA!!!!,3,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,4,Marcus,Brutus,6_MC,8_MO,,,,,
RedWally_Huh,Huh?!,5,Red,Wally,5_MO_EI,6_MO_EI,,,,,
,,,,, ,,,,,,
$Title,MonkeyIntro_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_3_1_Marcus_3_T1,WHAT HAS GOTTEN INTO THAT BOY!?,0,Marcus,Brutus,4_MO,5_MC,,,,,
R_3_1_Marcus_3_T2,He’s ruining everything!,1,Marcus,Brutus,5_MO,5_MC,,,,,
R_3_1_Brutus_4_T1,Yawn…,2,Marcus,Brutus,5_MC,6_MO,,,,,
R_3_1_Brutus_4_T2,Our leader won’t be too pleased with us at this rate…,3,Marcus,Brutus,5_MC,5_MO,,,,,
R_3_1_Marcus_5_T1,Don’t you think I know that!,4,Marcus,Brutus,4_MO,4_MC,,,,,
R_3_1_Marcus_5_T2,That spoiled brat…,5,Marcus,Brutus,5_MO,4_MC,,,,,
R_3_1_Red_6_T1,I wonder what they're talking about?,6,Red,Wally,9_MO_EI,7_MC_EI,,,,,
R_3_1_Wally_7_T1,Whatever it is~ it doesn't sound good. ,7,Red,Wally,8_MC_EI,8_MO_EI,,,,,
,,,,, ,,,,,,
$Title,MonkeyIntro_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
R_3_1_Marcus_8_T1,ACK!,0,Marcus,Brutus,9_MO,6_MO,,,,,
R_3_1_Brutus_9_T1,Uh?,1,Marcus,Brutus,9_MC,7_MO,,,,,
R_3_1_Marcus_10_T1,YOU!,2,Marcus,Brutus,4_MO,5_MC,,,,,
R_3_1_Marcus_10_T2,How long have you been there?!,3,Marcus,Brutus,9_MO,5_MC,,,,,
R_3_1_Brutus_11_T1,I've seen them up there for a while now… ,4,Marcus,Brutus,9_MC,4_MO,,,,,
R_3_1_Marcus_12_T1,And you didn’t say anything?!,5,Marcus,Brutus,5_MO,5_MC,,,,,
R_3_1_Marcus_12_T2,YOU BABOON!,6,Marcus,Brutus,4_MO,5_MC,,,,,
R_3_1_Brutus_13_T1,Yawn...,7,Marcus,Brutus,4_MC,6_MO,,,,,
R_3_1_Brutus_13_T2,I thought you knew…,8,Marcus,Brutus,5_MC,7_MO,,,,,
R_3_1_Marcus_14_T1,Never mind that now!,9,Marcus,Brutus,4_MO,4_MC,,,,,
R_3_1_Marcus_14_T2,They know too much.,10,Marcus,Brutus,5_MO,3_MC,,,,,
R_3_1_Red_15_T1,We don't know anything!,11,Red,Wally,5_MO_EI,6_MC_EI,,,,,
R_3_1_Wally_16_T1,Honest! ,12,Red,Wally,5_MC_EI,6_MO_EI,,,,,
R_3_1_Red_17_T1,We just need to get through.,13,Red,Wally,10_MO_EI,8_MC_EI,,,,,
R_3_1_Marcus_18_T1,Hmm…,14,Red,Marcus,10_MC_EI,3_MC,,,,,
R_3_1_Marcus_18_T2,You know what.,15,Red,Marcus,10_MC_EI,7_MO,,,,,
R_3_1_Marcus_18_T3,You could make this more interesting.,16,Red,Marcus,10_MC_EI,2_MO,,,,,
R_3_1_Marcus_18_T4,I'll tell you what.,17,Red,Marcus,10_MC_EI,3_MO,,,,,
R_3_1_Marcus_18_T5,If you clean up this mess~ and then beat our challenge in the end~ we will let you pass!,18,Red,Marcus,11_MC_EI,8_MO,,,,,
R_3_1_Brutus_19_T1,So… exactly what you’ve been doing before…,19,Brutus,Marcus,2_MO,5_MC,,,,,
R_3_1_Marcus_20_T1,HUSH!,20,Brutus,Marcus,5_MC,4_MO,,,,,
R_3_1_Red_21_T1,If we have no other choice then that’s what we’ll do.,21,Red,,1_MO_EI,,,,,,
R_3_1_Red_21_T2,Let’s get to it~ Explorer!,22,Red,,14_MO_EP,,,,,,
,,,,,,,,,,,
$Title,MonkeyQuips_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,1,Marcus,Brutus,6_MC,8_MO,,,,yes,
,,,,,,,,,,,
$Title,MonkeyRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_3_2_Red_1_T1,Alright!,0,Red,Marcus,2_MO_EI,5_MC,,,,,
R_3_2_Red_1_T2,We cleaned up your mess.,1,Red,Marcus,1_MO_EI,5_MC,,,,,
R_3_2_Marcus_2_T1,As expected.,2,Red,Marcus,1_MC_EI,3_MO,,,,,
R_3_2_Marcus_2_T2,Now it’s time for the challenge! JULIUS~ get out here!,3,Red,Marcus,5_MC_EI,2_MO,,,,,
,,,,,,,,,,,
$Title,MonkeyRebuilt_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
R_3_2_Julius_3_T1,...,0,,Julius,,21_MC_EO,,,,,
R_3_2_Wally_4_T1,Your highness! Are you okay??,1,Wally,Julius,7_MO_EI,21_MC_EO,,,,,
R_3_2_Marcus_5_T1,SILENCE! He doesn’t want to talk to you!,2,Wally,Marcus,6_MO_EI,4_MO,,,,,shake
R_3_2_Marcus_5_T2,Beat us and you can move forward!,3,Wally,Marcus,7_MC_EI,5_MO,,,,,
R_3_2_Marcus_5_T3,If not!,4,Wally,Marcus,7_MC_EO,8_MO,,,,,
R_3_2_Marcus_5_T4,Well then you can’t! ,5,Wally,Marcus,7_MC_EI,2_MO,,,,,
R_3_2_Marcus_5_T5,HA HA HA!!!,6,Wally,Marcus,8_MC_EI,6_MO,,,,,
R_3_2_Brutus_6_T1,Heh heh…,7,Brutus,Marcus,8_MO,6_MC,,,,,
R_3_2_Brutus_6_T2,Yawn…,8,Brutus,Marcus,6_MO,3_MC,,,,,
R_3_2_Wally_7_T1,I don’t have a good feeling about this...,9,Red,Wally,8_MC_EI,7_MO_EI,,,,,
R_3_2_Red_8_T1,Me neither.. But we’ve got to help Julius!!,10,Red,Wally,14_MO_EI,7_MC_EI,,,,,
R_3_2_Red_8_T2,Alright~ Explorer! You can do it!,11,Red,Wally,14_MO_EP,4_MC_EP,,,,,
R_3_2_Wally_9_T1,You've got this!,12,Red,Wally,2_MO_EC,5_MO_EP,,,,,
,,,,,,,,,,,
$Title,MonkeyDefeated_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
R_3_3_Julius_1_T1,...,0,,Julius,,21_MC_EO,,,,,
,,,,,,,,,,,
$Title,MonkeyDefeated_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
R_3_3_Marcus_2_T1,HOW ANNOYING!  ,0,Marcus,Brutus,4_MO,5_MC,,,,,
R_3_3_Brutus_3_T1,It was expected…,1,Marcus,Brutus,5_MC,4_MO,,,,,
R_3_3_Red_4_T1,Good job~ Explorer! ,2,Red,Wally,3_MO_EP,15_MC_EC,,,,,
R_3_3_Wally_5_T1,Amazing.,3,Red,Wally,2_MC_EC,4_MO_EP,,,,,
R_3_3_Marcus_6_T1,UGH!,4,Marcus,Brutus,4_MO,5_MC,,,,,
R_3_3_Marcus_6_T2,A deal is a deal! ,5,Marcus,Brutus,5_MO,5_MC,,,,,
R_3_3_Marcus_6_T3,You can pass.,6,Marcus,Brutus,7_MO,2_MC,,,,,
Marcus_Laugh,HA HA HA!!!!,7,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,8,Marcus,Brutus,6_MC,8_MO,,,,,
R_3_3_Red_7_T1,Alright~ Explorer!,9,Red,Wally,3_MO_EP,4_MC_EP,,,,,
R_3_3_Red_7_T2,Time to go into the Palace!,10,Red,Wally,4_MO_EC,4_MC_EI,,,,,
R_3_3_Wally_8_T1,Let's go.,11,Red,Wally,2_MC_EI,5_MO_EP,,,,,
,,,,,,,,,,,
$Title,FinalBoss_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_1_0_Red_1_T1,Looks like we made it to the Palace entrance! ,0,Red,,3_MO_EC,,,,,,
E_1_0_Wally_2_T1,This looks cool. ,1,Red,Wally,2_MC_EI,4_MO_EI,,,,,
RedWally_Darwin,DARWIN!,2,Red,Wally,3_MO_EI,4_MO_EI,,,,,
E_1_0_Darwin_4_T1,Hey...,3,,Darwin,,6_MO_EI,,,,,
E_1_0_Red_5_T1,Darwin~ what's wrong?,4,Red,Darwin,8_MO_EI,6_MC_EI,,,,,
E_1_0_Wally_6_T1,Yeah.,5,Wally,Darwin,1_MO_EI,6_MC_EI,,,,,
E_1_0_Wally_6_T2,You don't seem like yourself. ,6,Wally,Darwin,7_MO_EI,6_MC_EI,,,,,
E_1_0_Darwin_7_T1,Julius is up ahead...,7,Wally,Darwin,7_MC_EI,12_MO_EO,,,,,
E_1_0_Darwin_7_T2,And I uh..,8,Wally,Darwin,7_MC_EO,12_MO_EI,,,,,
E_1_0_Darwin_7_T3,Don't think I can do it…,9,Wally,Darwin,7_MC_EI,12_MO_EO,,,,,
E_1_0_Red_8_T1,Why not~ Darwin? ,10,Red,Darwin,8_MO_EI,6_MC_EI,,,,,
E_1_0_Darwin_9_T1,It’s just that…,11,Red,Darwin,8_MC_EI,12_MO_EI,,,,,
E_1_0_Darwin_9_T2,What if I uhh…,12,Red,Darwin,8_MC_EI,12_MO_EP,,,,,
E_1_0_Darwin_9_T3,Fail…,13,Red,Darwin,6_MO_EI,6_MO_EI,,,,,
E_1_0_Wally_10_T1,What do you mean?,14,Wally,Darwin,7_MO_EI,6_MC_EI,,,,,
E_1_0_Darwin_11_T1,I just don't want to let Julius down…,15,Wally,Darwin,7_MC_EI,12_MO_EO,,,,,
E_1_0_Darwin_11_T2,This is…,16,Wally,Darwin,7_MC_EI,6_MO_EI,,,,,
E_1_0_Darwin_11_T3,Really important…,17,Wally,Darwin,7_MC_EI,12_MO_EI,,,,,
E_1_0_Darwin_11_T4,And I don’t want to mess this up…,18,Wally,Darwin,7_MC_EI,6_MO_EI,,,,,
E_1_0_Red_12_T1,Oh Darwin.,19,Red,Darwin,8_MO_EI,12_MC_EO,,,,,
E_1_0_Red_12_T2,You don’t have to worry so much. ,20,Red,Darwin,17_MO_EC,12_MC_EI,,,,,
E_1_0_Darwin_13_T1,I…Don’t?,21,Red,Darwin,2_MC_EI,5_MO_EI,,,,,
E_1_0_Wally_14_T1,Yeah.,22,Red,Wally,2_MC_EI,4_MO_EI,,,,,
E_1_0_Wally_14_T2,We’re here for you!,23,Red,Wally,2_MC_EI,5_MO_EI,,,,,
E_1_0_Red_15_T1,Wally’s right~ Darwin! ,24,Red,Wally,3_MO_EC,4_MC_EI,,,,,
E_1_0_Red_15_T2,We’re your friends. ,25,Red,Wally,2_MO_EI,4_MC_EI,,,,,
E_1_0_Red_15_T3,Friends help each other! ,26,Red,Wally,3_MO_EP,4_MC_EP,,,,,
E_1_0_Red_15_T4,We can do this together! ,27,Red,Wally,4_MO_EC,4_MC_EI,,,,,
E_1_0_Wally_16_T1,Exactly! ,28,Red,Wally,2_MC_EI,5_MO_EI,,,,,
E_1_0_Darwin_17_T1,You’re right…,29,Red,Darwin,2_MC_EI,2_MO_EI,,,,,
E_1_0_Darwin_17_T2,Thanks guys…,30,Red,Darwin,2_MC_EI,11_MO_EC,,,,,
E_1_0_Darwin_17_T3,Let’s go see Julius! ,31,Red,Darwin,2_MC_EC,2_MO_EC,,,,,
E_1_0_Red_18_T1,Alright! ,32,Red,Darwin,3_MO_EC,4_MC_EC,,,,,
E_1_0_Red_18_T2,Let’s go~ Explorer! ,33,Red,Darwin,14_MO_EP,2_MC_EP,,,,,
E_1_0_Red_18_T3,We have a friend in need! ,34,Red,Darwin,4_MO_EC,2_MC_EI,,,,,
E_1_0_Wally_19_T1,Right behind you.,35,Wally,Darwin,5_MO_EP,2_MC_EC,,,,,
E_1_0_Darwin_20_T1,Let’s go! ,36,Wally,Darwin,4_MC_EI,2_MO_EP,,,,,
E_1_0_Darwin_20_T2,Uhh…,37,Wally,Darwin,4_MC_EI,9_MO_EI,,,,,
E_1_0_Darwin_20_T3,Team! ,38,Wally,Darwin,4_MC_EI,4_MO_EC,,,,,
,,,,,,,,,,,
$Title,Taxi_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_1_1_Taxi_1_T1,Woah there Explorer!,0,,Taxi,,2_MO_EP,,,,,
E_1_1_Taxi_1_T2,This old bird isn’t ready for take off just yet.,1,,Taxi,,1_MO_EP,,,,,
E_1_1_Taxi_1_T3,Laugh,2,,Taxi,,3_MO_EC,,,,,
,,,,,,,,,,,
$Title,Taxi_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_1_2_Taxi_1_T1,Sorry squirt~ doesn’t look like good flying weather! ,0,,Taxi,,1_MO_EP,,,,,
E_1_2_Taxi_1_T2,Come on back later.,1,,Taxi,,1_MO_EC,,,,,
,,,,,,,,,,,
$Title,FinalBoss_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
E_1_3_Darwin_1_T1,Julius! ,0,Darwin,Julius,4_MO_EI,21_MC_EO,,,,,
E_1_3_Julius_2_T1,Darwin? ,1,Darwin,Julius,2_MC_EI,10_MO_EI,,,,,
